Route,Origin,Destination,VehicleType,DepartureTime,ArrivalTime,Passengers,Distance_km,Delay_min,FuelUsed_Liters,Revenue_USD,Canceled,CongestionFactor
Route C,San Francisco,Los Angeles,Train,11:24:00,12:54:00,443,2242,68,378.31,133852.5,0,1.3524198670251368
Route B,Houston,New York,Flight,13:51:00,14:40:00,225,502,0,69.85,32288.96,0,1.3648390839355455
Route B,New York,Los Angeles,Bus,14:50:00,14:39:00,30,1949,85,113.02,27883.21,0,1.1153494763786802
Route B,San Francisco,Miami,Flight,19:31:00,00:06:00,286,1973,85,186.99,269240.41,0,1.1778887639111713
Route A,Houston,New York,Flight,09:25:00,10:26:00,291,88,51,5.8,3777.88,0,1.1280624493958884
Route B,Los Angeles,San Francisco,Flight,05:01:00,06:50:00,183,517,59,94.75,36818.67,0,1.4825470140615997
Route C,Miami,Los Angeles,Bus,01:14:00,00:21:00,14,1465,35,134.41,5541.28,0,0.9309306239902664
Route E,Seattle,Miami,Bus,10:29:00,13:48:00,12,1680,39,218.75,9937.9,0,1.1671579726991783
Route E,Miami,San Francisco,Bus,12:39:00,07:09:00,26,1669,47,178.02,14859.87,0,0.8816872448991769
Route B,Miami,San Francisco,Flight,11:43:00,12:41:00,273,54,52,8.3,5233.0,0,1.1719482420977037
Route B,Dallas,Chicago,Bus,05:37:00,18:49:00,30,612,11,96.25,5453.05,0,1.1518459651736346
Route D,Los Angeles,San Francisco,Bus,00:11:00,01:50:00,51,71,33,11.59,699.25,0,0.8326659642495309
Route B,Los Angeles,Seattle,Bus,19:29:00,13:22:00,42,2031,76,296.03,8547.96,0,0.9904925745692448
Route C,Houston,Chicago,Bus,00:19:00,04:00:00,23,162,31,22.27,602.66,0,1.002041387268179
Route B,Chicago,Dallas,Flight,13:52:00,18:10:00,142,2196,89,470.92,151378.22,1,1.09972890382212
Route E,Houston,San Francisco,Bus,19:14:00,00:58:00,32,352,-2,65.21,1407.29,0,1.1718860277814738
Route C,Houston,Dallas,Flight,01:02:00,04:59:00,162,1686,40,279.3,30924.09,0,1.483630469082857
Route C,Dallas,Chicago,Bus,07:13:00,01:08:00,27,1325,69,215.38,17390.3,0,1.1777844926723557
Route E,Houston,Dallas,Flight,02:15:00,05:25:00,82,1006,84,88.55,20341.5,0,1.1457256006284042
Route E,Houston,Los Angeles,Train,07:57:00,21:32:00,365,1421,74,105.89,254020.29,0,1.2085592782956105
Route B,Los Angeles,San Francisco,Flight,00:00:00,03:51:00,209,1711,37,282.12,47325.13,0,1.1870251623499297
Route A,Dallas,Miami,Train,00:51:00,02:34:00,305,240,16,28.97,18876.57,0,1.139695911993421
Route C,Houston,Dallas,Train,07:28:00,23:46:00,363,1675,89,311.33,274212.47,0,1.2877160157549055
Route A,Houston,Miami,Flight,23:29:00,00:14:00,75,156,32,13.77,3965.26,0,1.407810774924911
Route D,Seattle,Los Angeles,Train,06:24:00,23:17:00,464,1374,20,166.71,243560.27,0,1.1371668915748807
Route C,New York,San Francisco,Train,21:47:00,00:23:00,241,537,-15,90.44,34663.05,1,1.1880478367579805
Route A,Seattle,Los Angeles,Train,17:50:00,20:24:00,59,305,31,79.72,2124.98,0,1.4529099383478092
Route E,Miami,Dallas,Bus,00:08:00,03:48:00,29,1197,64,102.19,13345.75,0,1.0281712336413193
Route B,Dallas,New York,Train,03:00:00,08:20:00,144,930,16,123.29,41263.84,0,0.8794903145397404
Route C,Chicago,Dallas,Train,14:21:00,01:25:00,285,2131,-8,175.42,148938.53,0,0.8893062119568946
Route D,Los Angeles,New York,Bus,04:22:00,18:41:00,40,1835,53,282.68,22050.53,0,0.8107131782032694
Route B,Chicago,Miami,Train,21:16:00,09:46:00,289,1274,68,217.29,157957.28,0,0.9138318575414239
Route E,Los Angeles,Miami,Flight,23:50:00,02:38:00,288,1080,7,159.74,75165.51,0,0.821330506913516
Route D,New York,Los Angeles,Train,02:06:00,10:49:00,64,1252,26,220.24,31777.51,0,1.4150403807614067
Route A,San Francisco,Seattle,Bus,01:58:00,00:23:00,31,2025,85,203.26,18526.4,0,0.9577329583987698
Route E,Dallas,Los Angeles,Flight,09:42:00,10:03:00,179,334,-4,39.44,14027.09,0,0.8272741926171636
Route C,New York,Seattle,Train,17:22:00,02:24:00,301,1488,26,270.86,137346.81,0,0.9224684489671554
Route D,Dallas,Chicago,Flight,12:40:00,15:19:00,186,1332,54,233.51,51474.18,0,1.1393809799512882
Route E,San Francisco,Houston,Train,03:24:00,12:57:00,241,725,85,139.34,26396.74,0,1.2031472026806593
