Country,Year,GDP_per_capita,Life_Expectancy,Population,CO2_per_capita
United States,2000,25599.71,80.92,1026131548,12.37
United States,2001,25751.15,81.07,1034015226,12.18
United States,2002,27014.37,80.25,1028956194,11.94
United States,2003,24810.41,81.25,1043031147,10.95
United States,2004,32805.88,80.94,1069225169,10.46
United States,2005,26072.73,81.28,1048097054,12.69
United States,2006,25905.47,80.87,1069935957,15.41
United States,2007,29324.4,79.78,1131896363,9.46
United States,2008,31500.26,78.18,1054032705,12.45
United States,2009,37121.21,81.67,1116495553,11.11
United States,2010,20005.54,79.98,1107903313,15.05
United States,2011,35552.92,77.59,1165189329,10.55
United States,2012,25505.35,82.98,1229111619,15.13
United States,2013,23929.48,80.76,1192976836,15.53
United States,2014,27690.99,81.1,1092220913,6.65
United States,2015,49100.6,85.73,1184952485,16.14
United States,2016,41625.21,79.65,1238128624,18.96
United States,2017,35209.05,87.09,973396120,15.72
United States,2018,38284.8,80.74,1237479630,0.74
United States,2019,32972.53,83.22,1423837972,8.47
United States,2020,23507.12,79.91,1370576836,13.35
China,2000,49201.96,64.1,1250119802,11.25
China,2001,50623.09,64.21,1262652963,11.13
China,2002,47016.52,64.04,1270923696,10.67
China,2003,51473.98,64.5,1324417933,11.25
China,2004,54889.93,64.24,1252151954,11.02
China,2005,54805.81,66.82,1307644418,11.45
China,2006,55070.85,63.0,1372715567,12.3
China,2007,66389.96,63.18,1406824974,7.95
China,2008,66106.06,68.01,1301498608,9.49
China,2009,60370.28,63.65,1275625765,10.98
China,2010,43664.37,65.55,1319328302,15.4
China,2011,47341.75,63.95,1457765091,6.64
China,2012,67597.95,67.84,1279881268,11.31
China,2013,70270.83,66.79,1313562902,5.45
China,2014,80355.02,65.64,1462129823,12.0
China,2015,48907.03,65.55,1483258545,7.28
China,2016,158783.71,66.42,1333496797,13.6
China,2017,42018.74,67.63,1631699352,6.21
China,2018,116199.84,66.49,1608737287,20.59
China,2019,62461.95,62.19,1388805073,5.65
China,2020,69866.11,66.47,1567720086,15.21
India,2000,48714.62,71.06,809780919,10.36
India,2001,49362.34,71.25,819794822,10.29
India,2002,48189.55,70.55,822409600,10.77
India,2003,52679.08,70.46,836465792,10.55
India,2004,47457.33,71.38,843632983,8.79
India,2005,56675.0,71.87,874149996,11.69
India,2006,42803.25,70.23,872833078,10.98
India,2007,62168.08,76.8,885516852,12.39
India,2008,71220.43,72.5,865987715,11.78
India,2009,47335.98,71.08,866676332,10.13
India,2010,114733.84,67.82,925359904,5.02
India,2011,51938.21,74.0,906614398,6.25
India,2012,47868.47,73.29,873668458,10.54
India,2013,64124.48,70.01,1057187721,12.18
India,2014,27206.8,72.28,889026182,13.24
India,2015,46027.44,71.46,976008176,13.5
India,2016,37628.6,70.79,914434012,6.42
India,2017,161288.85,73.28,862187533,14.19
India,2018,206903.54,75.67,845534144,6.84
India,2019,142214.61,69.32,1019960954,13.82
India,2020,41646.12,71.82,714976889,3.21
Germany,2000,14526.1,69.54,560914104,12.7
Germany,2001,15323.51,69.6,563770535,12.79
Germany,2002,15290.44,69.4,572583991,12.37
Germany,2003,15570.14,70.09,591630030,11.44
Germany,2004,20056.35,68.18,581937079,13.21
Germany,2005,16711.76,69.17,586495643,11.71
Germany,2006,14729.4,70.86,601763690,11.15
Germany,2007,20032.77,70.32,618521568,13.67
Germany,2008,13969.74,69.05,625600260,13.77
Germany,2009,17264.22,70.21,649282008,10.65
Germany,2010,20771.95,69.64,612953442,15.5
Germany,2011,23514.86,71.88,671747896,12.22
Germany,2012,23380.12,69.4,644331744,11.63
Germany,2013,19500.02,71.74,605562258,20.21
Germany,2014,12587.31,66.85,698481233,15.33
Germany,2015,25683.2,72.18,650611899,7.91
Germany,2016,20664.6,68.18,710397346,11.2
Germany,2017,13393.24,69.3,687759760,8.98
Germany,2018,13353.14,71.32,685733601,9.06
Germany,2019,16234.35,71.38,591065923,3.73
Germany,2020,14081.42,69.69,705801235,20.55
Brazil,2000,28332.21,79.94,160120487,10.36
Brazil,2001,29340.28,80.3,161634619,10.43
Brazil,2002,30685.64,79.88,163701516,10.27
Brazil,2003,30326.24,79.63,165032357,10.66
Brazil,2004,36248.2,80.91,173840730,9.24
Brazil,2005,35505.12,80.37,177609902,8.9
Brazil,2006,27461.04,79.52,159526261,9.11
Brazil,2007,27786.62,80.5,173714286,13.95
Brazil,2008,41387.58,79.42,167313464,11.14
Brazil,2009,23707.31,83.69,184541810,8.64
